Price,District,City,Town,,,,,,,,,,
1000000,Faro,Silves,Silves,,,,,,,,,,
490000,Faro,Portimão,Portimão,,,,,,,,,,
620000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
409000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
805000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
465000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
595000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
640000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
85000,Faro,Aljezur,Aljezur,,,,,,,,,,
99000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
1350000,Faro,Portimão,Portimão,,,,,,,,,,
890000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
2600000,Faro,Lagoa (Algarve),Estômbar e Parchal,,,,,,,,,,
560000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
159900,Faro,Olhão,Olhão,,,,,,,,,,
159900,Faro,Olhão,Olhão,,,,,,,,,,
159900,Faro,Olhão,Olhão,,,,,,,,,,
1300000,Faro,Portimão,Portimão,,,,,,,,,,
600000,Faro,Olhão,Olhão,,,,,,,,,,
14800,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
615000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
87500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
209000,Faro,Silves,Armação de Pêra,,,,,,,,,,
184000,Faro,Portimão,Portimão,,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
898000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
305000,Faro,Silves,Silves,,,,,,,,,,
119900,Faro,Albufeira,Paderne,,,,,,,,,,
45000,Faro,Vila do Bispo,Vila do Bispo e Raposeira,,,,,,,,,,
115000,Faro,Loulé,Alte,,,,,,,,,,
540000,Faro,Loulé,Alte,,,,,,,,,,
540000,Faro,Loulé,Alte,,,,,,,,,,
35000,Faro,Vila do Bispo,Vila do Bispo e Raposeira,,,,,,,,,,
310000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
125000,Faro,Loulé,Boliqueime,,,,,,,,,,
135000,Faro,Vila Real de Santo António,Vila Nova de Cacela,,,,,,,,,,
49900,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
355000,Faro,Portimão,Portimão,,,,,,,,,,
355000,Faro,Portimão,Portimão,,,,,,,,,,
370000,Faro,Portimão,Portimão,,,,,,,,,,
380000,Faro,Portimão,Portimão,,,,,,,,,,
350000,Faro,Portimão,Portimão,,,,,,,,,,
360000,Faro,Portimão,Portimão,,,,,,,,,,
360000,Faro,Portimão,Portimão,,,,,,,,,,
170000,Faro,Vila Real de Santo António,Vila Real de Santo António,,,,,,,,,,
8500,Faro,Loulé,Quarteira,,,,,,,,,,
19000,Faro,Loulé,Quarteira,,,,,,,,,,
499000,Faro,Loulé,Almancil,,,,,,,,,,
249500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
390000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
199000,Faro,Portimão,Portimão,,,,,,,,,,
350000,Faro,Olhão,Quelfes,,,,,,,,,,
280000,Faro,Olhão,Quelfes,,,,,,,,,,
473695,Faro,Loulé,Quarteira,,,,,,,,,,
650000,Faro,Castro Marim,Altura,,,,,,,,,,
195000,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
875000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
355000,Faro,Portimão,Portimão,,,,,,,,,,
1000000,Faro,Olhão,Pechão,,,,,,,,,,
800000,Faro,Lagoa (Algarve),Estômbar e Parchal,,,,,,,,,,
860000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
1300000,Faro,Silves,Armação de Pêra,,,,,,,,,,
1580000,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",,,,,,,,,,
265000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
269000,Faro,Loulé,Quarteira,,,,,,,,,,
115000,Faro,Lagoa (Algarve),Estômbar e Parchal,,,,,,,,,,
275000,Faro,Portimão,Alvor,,,,,,,,,,
260000,Faro,Aljezur,Odeceixe,,,,,,,,,,
20000,Faro,Loulé,Quarteira,,,,,,,,,,
6500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
375000,Faro,Portimão,Portimão,,,,,,,,,,
360000,Faro,Portimão,Portimão,,,,,,,,,,
1500000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
154500,Faro,Portimão,Portimão,,,,,,,,,,
223000,Faro,Portimão,Portimão,,,,,,,,,,
75000,Faro,Aljezur,Aljezur,,,,,,,,,,
17500,Faro,Portimão,Portimão,,,,,,,,,,
216000,Faro,Vila do Bispo,Sagres,,,,,,,,,,
170000,Faro,Portimão,Portimão,,,,,,,,,,
180000,Faro,Portimão,Alvor,,,,,,,,,,
205000,Faro,Portimão,Portimão,,,,,,,,,,
100000,Faro,Aljezur,Aljezur,,,,,,,,,,
850000,Faro,Silves,Armação de Pêra,,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
120000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
232000,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,,,,,,,,,,
220000,Faro,Silves,Silves,,,,,,,,,,
4295000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
371500,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
1400000,Faro,Portimão,Alvor,,,,,,,,,,
349000,Faro,Faro,Conceição e Estoi,,,,,,,,,,
160000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1350000,Faro,Lagoa (Algarve),Ferragudo,,,,,,,,,,
259000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
395000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
255000,Faro,Faro,Montenegro,,,,,,,,,,
365000,Faro,Portimão,Alvor,,,,,,,,,,
800000,Faro,Portimão,Alvor,,,,,,,,,,
140000,Faro,Monchique,Monchique,,,,,,,,,,
37000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
660000,Faro,Silves,Armação de Pêra,,,,,,,,,,
660000,Faro,Silves,Armação de Pêra,,,,,,,,,,
660000,Faro,Silves,Armação de Pêra,,,,,,,,,,
215000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
6000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
680000,Faro,Silves,Armação de Pêra,,,,,,,,,,
360000,Faro,Lagos,Luz,,,,,,,,,,
4000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
3100,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
680000,Faro,Silves,Armação de Pêra,,,,,,,,,,
380000,Faro,Lagoa (Algarve),Estômbar e Parchal,,,,,,,,,,
235000,Faro,Silves,Silves,,,,,,,,,,
25500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
400000,Faro,Albufeira,Ferreiras,,,,,,,,,,
650000,Faro,Loulé,Quarteira,,,,,,,,,,
122500,Faro,Olhão,Olhão,,,,,,,,,,
2499999,Faro,Portimão,Mexilhoeira Grande,,,,,,,,,,
199000,Faro,Tavira,Conceição e Cabanas de Tavira,,,,,,,,,,
1750000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
255000,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,,,,,,,,,,
249500,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
150000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
220000,Faro,Loulé,Quarteira,,,,,,,,,,
237500,Faro,Portimão,Portimão,,,,,,,,,,
36000,Faro,Loulé,São Clemente,,,,,,,,,,
56250,Faro,Olhão,Pechão,,,,,,,,,,
370000,Faro,Olhão,Olhão,,,,,,,,,,
267500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
189000,Faro,Portimão,Alvor,,,,,,,,,,
995000,Faro,Portimão,Portimão,,,,,,,,,,
330000,Faro,Loulé,Quarteira,,,,,,,,,,
125000,Faro,Silves,São Bartolomeu de Messines,,,,,,,,,,
230000,Faro,Loulé,Quarteira,,,,,,,,,,
32000,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
3300000,Faro,Loulé,Quarteira,,,,,,,,,,
1900000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
111000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
95000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
85000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
100000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
111000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
85000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
430000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
13750,Faro,Portimão,Portimão,,,,,,,,,,
350000,Faro,Portimão,Portimão,,,,,,,,,,
365000,Faro,Portimão,Portimão,,,,,,,,,,
242000,Faro,Tavira,Conceição e Cabanas de Tavira,,,,,,,,,,
220000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
900000,Faro,Loulé,Almancil,,,,,,,,,,
450000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
189000,Faro,Silves,Armação de Pêra,,,,,,,,,,
380000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
425000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
1650000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1850000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
635000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
285000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
214500,Faro,Olhão,Olhão,,,,,,,,,,
285000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
135000,Faro,Olhão,Olhão,,,,,,,,,,
795000,Faro,Silves,Silves,,,,,,,,,,
325000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
569000,Faro,Loulé,Quarteira,,,,,,,,,,
255000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
229000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
255000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
305000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
258000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
252000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
265000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
316000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
268000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
262000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
276000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
326000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
279000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
272000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
540000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
750000,Faro,Olhão,Quelfes,,,,,,,,,,
364000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
730000,Faro,Silves,Armação de Pêra,,,,,,,,,,
220000,Faro,Vila Real de Santo António,Vila Real de Santo António,,,,,,,,,,
180000,Faro,Faro,Montenegro,,,,,,,,,,
140000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
350000,Faro,Olhão,Quelfes,,,,,,,,,,
37000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
188500,Faro,Vila Real de Santo António,Vila Real de Santo António,,,,,,,,,,
285000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1299000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
350000,Faro,Lagoa (Algarve),Porches,,,,,,,,,,
1300000,Faro,Lagoa (Algarve),Porches,,,,,,,,,,
111000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
229000,Faro,Portimão,Portimão,,,,,,,,,,
360000,Faro,Olhão,Olhão,,,,,,,,,,
2035000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
650000,Faro,Loulé,Quarteira,,,,,,,,,,
80000,Faro,Loulé,São Sebastião,,,,,,,,,,
199000,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,,,,,,,,,,
750000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
750000,Faro,Portimão,Alvor,,,,,,,,,,
590000,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,,,,,,,,,,
200000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1500000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
111000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
107000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
111000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
400000,Faro,Albufeira,Ferreiras,,,,,,,,,,
10000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
10000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
416000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
677000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
595000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
89000,Faro,Faro,Conceição e Estoi,,,,,,,,,,
980000,Faro,Lagos,Luz,,,,,,,,,,
49500,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
498750,Faro,Loulé,Quarteira,,,,,,,,,,
20000,Faro,Silves,São Bartolomeu de Messines,,,,,,,,,,
125000,Faro,Portimão,Portimão,,,,,,,,,,
310000,Faro,Portimão,Portimão,,,,,,,,,,
246000,Faro,Portimão,Portimão,,,,,,,,,,
240000,Faro,Portimão,Portimão,,,,,,,,,,
330000,Faro,Portimão,Portimão,,,,,,,,,,
340000,Faro,Portimão,Portimão,,,,,,,,,,
365000,Faro,Portimão,Portimão,,,,,,,,,,
320000,Faro,Portimão,Portimão,,,,,,,,,,
553000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
426000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
424000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
436000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
2500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
8000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
2500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
2500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
2500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
2500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
380000,Faro,Loulé,"Querença, Tôr e Benafim",,,,,,,,,,
135000,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
12500,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
750000,Faro,Vila do Bispo,Sagres,,,,,,,,,,
15400,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
16900,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
44800,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
799000,Faro,Olhão,Olhão,,,,,,,,,,
165000,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
650000,Faro,Loulé,Quarteira,,,,,,,,,,
850000,Faro,Loulé,Quarteira,,,,,,,,,,
850000,Faro,Loulé,Quarteira,,,,,,,,,,
24000,Faro,Olhão,Moncarapacho e Fuseta,,,,,,,,,,
655000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
35900,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
419000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
280000,Faro,Portimão,Portimão,,,,,,,,,,
3550000,Faro,Loulé,Quarteira,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
380000,Faro,Olhão,Quelfes,,,,,,,,,,
280000,Faro,Portimão,Portimão,,,,,,,,,,
770000,Faro,Loulé,Quarteira,,,,,,,,,,
905000,Faro,Loulé,Quarteira,,,,,,,,,,
150000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
160000,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
425000,Faro,Portimão,Portimão,,,,,,,,,,
300000,Faro,Portimão,Portimão,,,,,,,,,,
390000,Faro,Portimão,Portimão,,,,,,,,,,
325000,Faro,Portimão,Portimão,,,,,,,,,,
229500,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
900000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
29000,Faro,Faro,Santa Bárbara de Nexe,,,,,,,,,,
169250,Faro,Tavira,Tavira (Santa Maria e Santiago),,,,,,,,,,
125000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
100000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
85000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
85000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
280000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
350000,Faro,Portimão,Portimão,,,,,,,,,,
280000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
240000,Faro,Faro,Conceição e Estoi,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Portimão,Portimão,,,,,,,,,,
65000,Faro,Castro Marim,Azinhal,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
360000,Faro,Portimão,Portimão,,,,,,,,,,
285000,Faro,Portimão,Portimão,,,,,,,,,,
185000,Faro,Faro,Conceição e Estoi,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
10500,Faro,Loulé,Quarteira,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
270000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
260000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
260000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
340000,Faro,Portimão,Portimão,,,,,,,,,,
1290000,Faro,Faro,Montenegro,,,,,,,,,,
305000,Faro,Lagos,São Gonçalo de Lagos,,,,,,,,,,
74150,Faro,São Brás de Alportel,São Brás de Alportel,,,,,,,,,,
699600,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
583000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
620100,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
424000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
170000,Faro,Monchique,Monchique,,,,,,,,,,
45000,Faro,Castro Marim,Azinhal,,,,,,,,,,
35000,Faro,Castro Marim,Azinhal,,,,,,,,,,
465000,Faro,Olhão,Olhão,,,,,,,,,,
630700,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
434600,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
445200,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
445200,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
609500,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
455800,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
455800,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
620100,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
1081200,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
1028200,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
34000,Faro,Alcoutim,Alcoutim e Pereiro,,,,,,,,,,
418700,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
285000,Faro,Loulé,Almancil,,,,,,,,,,
413400,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
235000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
650000,Faro,Loulé,Quarteira,,,,,,,,,,
35000,Faro,Silves,São Marcos da Serra,,,,,,,,,,
36000,Faro,Silves,São Marcos da Serra,,,,,,,,,,
28000,Faro,Silves,São Marcos da Serra,,,,,,,,,,
8000,Faro,Loulé,Quarteira,,,,,,,,,,
265000,Faro,Loulé,Quarteira,,,,,,,,,,
338000,Faro,Portimão,Portimão,,,,,,,,,,
262500,Faro,Portimão,Portimão,,,,,,,,,,
352500,Faro,Portimão,Portimão,,,,,,,,,,
362500,Faro,Portimão,Portimão,,,,,,,,,,
367500,Faro,Portimão,Portimão,,,,,,,,,,
372500,Faro,Portimão,Portimão,,,,,,,,,,
240000,Faro,Castro Marim,Azinhal,,,,,,,,,,
287500,Faro,Portimão,Portimão,,,,,,,,,,
377500,Faro,Portimão,Portimão,,,,,,,,,,
382500,Faro,Portimão,Portimão,,,,,,,,,,
297500,Faro,Portimão,Portimão,,,,,,,,,,
195000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
1802000,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
609500,Faro,Faro,Faro (Sé e São Pedro),,,,,,,,,,
335000,Faro,Loulé,Almancil,,,,,,,,,,
295000,Faro,Loulé,Almancil,,,,,,,,,,
395000,Faro,Loulé,Almancil,,,,,,,,,,
297500,Faro,Portimão,Portimão,,,,,,,,,,
895000,Faro,Portimão,Portimão,,,,,,,,,,
400000,Faro,Silves,São Marcos da Serra,,,,,,,,,,
500000,Faro,Albufeira,Albufeira e Olhos de Água,,,,,,,,,,
